Tool;View;ChangeSet;RunIndex;Iteration;PhaseName;MetricName;MetricValue
NMF;Q1;1;4;1;Update;Elements;404236|167197|404315
NMF;Q1;1;4;2;Update;Time;2668900
NMF;Q1;1;4;2;Update;Memory;78462976
NMF;Q1;1;4;2;Update;Elements;404236|167197|404315
NMF;Q1;1;4;3;Update;Time;1656800
NMF;Q1;1;4;3;Update;Memory;78462976
NMF;Q1;1;4;3;Update;Elements;404236|167197|404315
NMF;Q1;1;4;4;Update;Time;1560200
NMF;Q1;1;4;4;Update;Memory;78462976
NMF;Q1;1;4;4;Update;Elements;167197|404236|404315
NMF;Q1;1;4;5;Update;Time;1597800
NMF;Q1;1;4;5;Update;Memory;78462976
NMF;Q1;1;4;5;Update;Elements;167197|404236|404315
NMF;Q1;1;4;6;Update;Time;1522700
NMF;Q1;1;4;6;Update;Memory;78462976
NMF;Q1;1;4;6;Update;Elements;167197|404236|404315
NMF;Q1;1;4;7;Update;Time;1703400
NMF;Q1;1;4;7;Update;Memory;78462976
NMF;Q1;1;4;7;Update;Elements;167197|404236|404315
NMF;Q1;1;4;8;Update;Time;1697200
NMF;Q1;1;4;8;Update;Memory;78462976
NMF;Q1;1;4;8;Update;Elements;167197|404236|404315
NMF;Q1;1;4;9;Update;Time;1593300
NMF;Q1;1;4;9;Update;Memory;78462976
NMF;Q1;1;4;9;Update;Elements;167197|404236|404315
NMF;Q1;1;4;10;Update;Time;1741900
NMF;Q1;1;4;10;Update;Memory;78462976
NMF;Q1;1;4;10;Update;Elements;167197|404236|404315
NMF;Q1;1;4;11;Update;Time;2269900
NMF;Q1;1;4;11;Update;Memory;78594048
NMF;Q1;1;4;11;Update;Elements;167197|404236|404315
NMF;Q1;1;4;12;Update;Time;1947700
NMF;Q1;1;4;12;Update;Memory;78594048
NMF;Q1;1;4;12;Update;Elements;167197|404236|404315
NMF;Q1;1;4;13;Update;Time;1987800
NMF;Q1;1;4;13;Update;Memory;78594048
NMF;Q1;1;4;13;Update;Elements;404236|167197|404315
NMF;Q1;1;4;14;Update;Time;2204000
NMF;Q1;1;4;14;Update;Memory;78594048
NMF;Q1;1;4;14;Update;Elements;404236|167197|404315
NMF;Q1;1;4;15;Update;Time;4316100
NMF;Q1;1;4;15;Update;Memory;78856192
NMF;Q1;1;4;15;Update;Elements;404236|167197|404315
NMF;Q1;1;4;16;Update;Time;2186900
NMF;Q1;1;4;16;Update;Memory;78856192
NMF;Q1;1;4;16;Update;Elements;404236|167197|404315
NMF;Q1;1;4;17;Update;Time;6211900
NMF;Q1;1;4;17;Update;Memory;78856192
NMF;Q1;1;4;17;Update;Elements;404236|167197|404315
NMF;Q1;1;4;18;Update;Time;2068400
NMF;Q1;1;4;18;Update;Memory;78856192
NMF;Q1;1;4;18;Update;Elements;404236|167197|404315
NMF;Q1;1;4;19;Update;Time;2115300
NMF;Q1;1;4;19;Update;Memory;78856192
NMF;Q1;1;4;19;Update;Elements;404236|167197|404315
NMF;Q1;1;4;20;Update;Time;1661600
NMF;Q1;1;4;20;Update;Memory;78856192
NMF;Q1;1;4;20;Update;Elements;404236|167197|404315
NMF;Q1;2;0;0;Initialization;Time;410119300
NMF;Q1;2;0;0;Initialization;Memory;74448896
NMF;Q1;2;0;0;Load;Time;90230800
NMF;Q1;2;0;0;Load;Memory;82182144
NMF;Q1;2;0;0;Initial;Time;15336600
